feature,mean_abs_contrib,mean_signed_contrib,direction
num__futures_return,0.0086334471746206,-0.0037958878289862962,down
num__disaster_event_count,0.0024962292434041653,-0.001073273864307907,down
num__disaster_fire_count_lag3,0.002380984532004721,0.00023745286104400517,up
num__enso_oni_lag12,0.0020780511924529572,0.0014429976351017575,up
num__futures_price_lag6,0.0018954232943834961,-0.0007957590286386414,down
num__vix_lag6,0.0016135650399679037,-0.0012605763097833754,down
num__drought_index,0.0015889516219792555,0.0011339597385656612,up
num__futures_return_lag12,0.0015392333978881208,0.0008214933482316126,up
num__disaster_event_count_lag12,0.0013857891361832538,0.0003637676596155888,up
num__precipitation_anomaly,0.0013322355007928742,-0.0002334510878542385,down
num__disaster_event_count_lag1,0.00129922347568694,-0.00033959900523536645,down
num__vix,0.0012659836162787342,-0.0008677647865571642,down
num__enso_oni_lag1,0.0012061220224621118,-0.0005097484467602514,down
num__disaster_event_count_lag3,0.0011887411736212399,0.0004832441769084823,up
num__ret_std_12,0.0010992189868566974,0.0008809173788881269,up
num__usd_index,0.0010885010978986757,-0.0010885010978986757,down
num__ret_std_3,0.0010821479142113742,0.0003615352910850983,up
num__enso_oni,0.0010703504326049643,-0.000765577207844557,down
num__futures_return_lag1,0.0010312269290232478,0.00012021412490495449,up
num__disaster_flood_count,0.001028446201555086,-0.0002853292982514333,down
num__disaster_fire_count,0.0010098813244183548,0.00046031715294902114,up
num__usd_index_lag2,0.0009311598281324878,-0.0009311598281324878,down
num__enso_oni_lag6,0.0009236555551041267,0.0005634584337883045,up
num__vix_lag12,0.000909279339115688,-0.0004023722844215894,down
num__ret_std_6,0.0009037808601706652,0.00019527756649361346,up
