feature,perm_importance_rmse_drop,perm_importance_std
futures_return,0.0023556953346057677,0.001470970800901399
disaster_event_count,0.0009328280608669215,0.0005042266494026624
temperature_anomaly,0.0008666793752293964,0.00025976353990318687
ret_mean_12,0.0004088279223089259,0.00020190824998467726
futures_return_lag1,0.0003979350778988425,0.0003619072280118837
vix_lag6,0.00036070593915323875,0.00015430493043555756
disaster_flood_count,0.0003529435688261418,0.00020205240622011894
drought_index,0.0003427192338132889,0.00019697533577822484
extreme_heat_events,0.0002500811396405232,0.00017896231243413822
disaster_event_count_lag12,0.00024868052553176837,0.00027729925351662534
month,0.00020269445356979835,8.783240389958178e-05
disaster_event_count_lag1,0.0001786444227054172,0.000287956529033471
vix_lag3,0.00015685300500559821,7.420253406914949e-05
enso_oni_lag1,0.00013117337244114048,0.0002595651043833512
price_proxy,0.00012654633361219685,0.00011706050038632734
disaster_event_count_lag3,0.00011342124274032803,0.0003251610751288094
ret_mean_6,9.788870967473873e-05,0.0001871116664010015
futures_price_lag1,9.785670395824117e-05,9.434545810407176e-05
enso_oni,9.717414664622872e-05,0.00012972742873193437
futures_return_lag2,9.698706845071673e-05,0.00013263385325181204
disaster_fire_count_lag1,9.009931579729256e-05,6.098140912000599e-05
ret_std_12,8.749034994818237e-05,0.0001893602713563828
interest_rate_lag6,6.688551546190895e-05,4.136979693998511e-05
enso_oni_lag6,5.340086057254532e-05,0.0002470216865243931
disaster_fire_count_lag3,5.166198249001337e-05,0.0005592135433671578
interest_rate,3.8329734422751575e-05,3.009582501917349e-05
disaster_fire_count_lag12,3.7763978434687645e-05,5.194809015501726e-05
disaster_event_count_lag2,3.508847265871716e-05,9.599997871415682e-05
precipitation_anomaly,3.24711201658336e-05,0.00029769593345164476
futures_price_lag3,3.0314927577800717e-05,6.861336536759767e-05
climate_location_code,2.949591640956147e-05,0.00011532615024477689
interest_rate_lag12,1.934254484098185e-05,3.7570269957130876e-05
futures_price_lag12,1.857694922875585e-05,0.00018457746946081292
vix_lag2,1.2252976213407604e-05,0.00021189483150936122
commodity,1.0439144353019402e-05,8.613339581219531e-05
usd_index_lag2,7.035253387816139e-06,6.237637791611799e-06
month_num,4.275063873553087e-06,7.269877740392245e-05
futures_price,2.159074684908273e-06,5.331332722698375e-06
disaster_event_count_lag6,1.5141803259819536e-06,0.0002936379877533675
price_unit,0.0,0.0
price_series_desc,0.0,0.0
usd_index_source,0.0,0.0
disaster_storm_count_lag1,0.0,0.0
disaster_storm_count_lag2,0.0,0.0
disaster_storm_count_lag3,0.0,0.0
disaster_storm_count_lag6,0.0,0.0
disaster_storm_count_lag12,0.0,0.0
price_source,0.0,0.0
time_idx,0.0,0.0
disaster_storm_count,0.0,0.0
vix_source,0.0,0.0
price_source_detail,0.0,0.0
usd_index_lag1,-1.1153597806319928e-06,1.9337532195050193e-05
usd_index,-4.955474233220118e-06,4.596320281104094e-06
futures_price_lag2,-7.871530027948534e-06,2.3114484293502242e-05
usd_index_lag6,-8.248757515911045e-06,3.2896001131723145e-05
ret_std_3,-1.1839897437518343e-05,0.00027872784685465817
interest_rate_lag2,-1.263241577379292e-05,3.917331882389983e-05
disaster_flood_count_lag6,-1.4150050109929674e-05,6.0383501915296686e-05
disaster_flood_count_lag3,-1.9762896378043743e-05,6.855253566714854e-05
usd_index_lag3,-2.5077127438500983e-05,4.978839080524423e-05
disaster_fire_count_lag6,-4.473819847127039e-05,6.325084426896009e-05
usd_index_lag12,-4.586991925098257e-05,7.574697234310905e-05
enso_oni_lag12,-4.595632819477981e-05,0.00026726143027097854
ret_mean_3,-5.285592413454797e-05,0.00010153494391756
interest_rate_lag1,-6.419135496125422e-05,2.720100895921109e-05
enso_oni_lag3,-6.785525272505043e-05,0.00010051330168830561
ret_std_6,-7.508422061228113e-05,0.00013238442346877772
disaster_fire_count_lag2,-8.824192331316309e-05,5.9597554794008035e-05
enso_oni_lag2,-9.383717346740216e-05,0.00014745031827536462
disaster_flood_count_lag1,-9.989382328333165e-05,6.242938753204696e-05
disaster_flood_count_lag2,-0.00010442913563530348,5.435197302947362e-05
interest_rate_lag3,-0.00011170576974776168,3.835646369538771e-05
futures_return_lag6,-0.00012406148112732387,0.00012329328532309158
futures_return_lag12,-0.00015691186246142246,0.00026874454025653175
futures_return_lag3,-0.00020445221270815414,0.00017589436714870413
disaster_fire_count,-0.00024921626076874635,0.0003163740588622452
vix,-0.0002616939031671249,0.00021514546340494118
futures_price_lag6,-0.00031404412219742625,0.0004523571905867765
disaster_flood_count_lag12,-0.0004145694268030945,0.00013870725476511022
vix_lag12,-0.0005981794082707819,0.0002580806025650345
vix_lag1,-0.0007259974885731062,0.00017157573704086216
