feature,contribution,abs_contribution
num__disaster_event_count,-0.008675154484988436,0.008675154484988436
num__enso_oni_lag12,-0.0036783926157690546,0.0036783926157690546
num__ret_std_12,0.0022575898430723744,0.0022575898430723744
num__disaster_event_count_lag2,0.0019429398021793495,0.0019429398021793495
num__usd_index_lag12,0.0018475462331647814,0.0018475462331647814
num__enso_oni_lag1,0.0017565583963118337,0.0017565583963118337
num__futures_return_lag6,-0.0015386637196951778,0.0015386637196951778
num__usd_index_lag2,-0.001364341398793738,0.001364341398793738
num__drought_index,0.0013325416408770494,0.0013325416408770494
num__enso_oni_lag2,0.0012443947951034963,0.0012443947951034963
num__disaster_event_count_lag6,0.0011581128903583242,0.0011581128903583242
num__disaster_fire_count_lag3,-0.0011188872940782208,0.0011188872940782208
num__disaster_event_count_lag1,-0.0010511871811525596,0.0010511871811525596
num__month_num,0.001001066232802881,0.001001066232802881
num__futures_return_lag1,-0.0008808175563987461,0.0008808175563987461
num__extreme_heat_events,-0.0008698250440534152,0.0008698250440534152
num__ret_mean_6,0.0008287853817787114,0.0008287853817787114
num__disaster_fire_count,-0.000741872524054677,0.000741872524054677
num__interest_rate_lag12,0.00072453327568998,0.00072453327568998
num__usd_index,-0.000670105598645632,0.000670105598645632
num__futures_return,-0.0006679800498566104,0.0006679800498566104
num__vix,-0.0006629646360069478,0.0006629646360069478
num__precipitation_anomaly,0.0006245021805833582,0.0006245021805833582
num__disaster_fire_count_lag2,-0.0005674970617204226,0.0005674970617204226
num__futures_price_lag3,-0.0005295776194492172,0.0005295776194492172
num__interest_rate_lag6,-0.00047608210021618974,0.00047608210021618974
num__vix_lag6,-0.00043975854443079423,0.00043975854443079423
num__disaster_flood_count,0.0004281729794470663,0.0004281729794470663
num__futures_price_lag12,-0.0004211130445898239,0.0004211130445898239
num__enso_oni,-0.00041205254466142804,0.00041205254466142804
num__ret_std_3,-0.00040889476234140835,0.00040889476234140835
num__ret_mean_3,-0.00039217862892735586,0.00039217862892735586
num__disaster_event_count_lag3,0.00034307660033456433,0.00034307660033456433
num__disaster_flood_count_lag6,0.0003235776076723743,0.0003235776076723743
num__time_idx,0.0003226386204771799,0.0003226386204771799
num__ret_mean_12,-0.0003095011772427189,0.0003095011772427189
num__price_proxy,0.00030415046198389585,0.00030415046198389585
num__usd_index_lag1,-0.00027283064138007476,0.00027283064138007476
num__disaster_flood_count_lag2,-0.00025780656025024677,0.00025780656025024677
num__vix_lag1,0.00024551954398689934,0.00024551954398689934
num__temperature_anomaly,-0.0002412713143301182,0.0002412713143301182
num__enso_oni_lag3,-0.00023077748303291137,0.00023077748303291137
cat__commodity_corn,0.00022047499840431508,0.00022047499840431508
num__futures_return_lag3,-0.0002014865364920456,0.0002014865364920456
num__usd_index_lag6,-0.00019742532996421886,0.00019742532996421886
num__disaster_fire_count_lag12,0.00019518615250825263,0.00019518615250825263
num__disaster_flood_count_lag12,-0.00018368429130871103,0.00018368429130871103
num__usd_index_lag3,0.00017255103208774087,0.00017255103208774087
num__interest_rate_lag1,-0.00016676900823645288,0.00016676900823645288
num__climate_location_code,-0.00016550097422606246,0.00016550097422606246
