target_variant,model,mae_mean,rmse_mean,rmse_median,r2_mean,r2_median,direction_acc_mean,n_windows,delta_r2_vs_seasonal_naive
deseason_winsor,xgboost,0.034445070471283944,0.04566214504272949,0.04567705454012155,0.059071172794486135,0.03168599908857844,0.6081349206349207,14,0.028887497917815096
deseason_winsor,elastic_net,0.03471788142595908,0.0458061003474798,0.04558087900419064,0.051360795928191316,0.11082478724486283,0.615079365079365,14,0.021177121051520278
deseason_winsor,hist_gbdt,0.03455196989593705,0.045872805898890846,0.045955038654288086,0.0554537653344576,0.0717926399608127,0.611111111111111,14,0.025270090457786564
deseason_winsor,lightgbm,0.03539818339194361,0.04656109106435676,0.04451290144305029,0.021854493162420774,-0.0374973076365801,0.6061507936507936,14,-0.008329181714250265
deseason_winsor,seasonal_naive,0.03480399706803951,0.04660424622139046,0.048286379731980016,0.03018367487667104,0.025183307606488403,0.5902777777777778,14,0.0
raw,xgboost,0.034129852210764235,0.044829904390025474,0.04471671036489991,0.0934372501371704,0.12784557725471418,0.625,14,0.06325357526049936
raw,lightgbm,0.034494816949918725,0.04532165825397244,0.04425095608427672,0.06794728984378015,0.03898266173623216,0.6160714285714286,14,0.037763614967109116
raw,hist_gbdt,0.034399030223684464,0.04545083160474705,0.04502434031774206,0.06934822330651089,0.10142065238426556,0.6140873015873015,14,0.03916454842983985
raw,seasonal_naive,0.03480399706803951,0.04660424622139046,0.048286379731980016,0.03018367487667104,0.025183307606488403,0.5902777777777778,14,0.0
raw,elastic_net,0.03545191856805634,0.046676203830022765,0.04563349720659185,0.018215993863759303,0.08208299623007043,0.5912698412698413,14,-0.011967681012911735
